event_key,name,active,event_start,event_end,event_type,event_subtype,seats,description,speakers,moderators,artists,sponsors,exhibitors,volunteers,venue,address,media_url,company,audience,subject,geo_area,tags,host_org,rsvp_url,surveys
35,D&D Adventurer's League 5-5 A Dish Best Served Cold,Y,11/13/2016 10:00 AM,11/13/2016 1:00 PM,Role Playing,,,"Among the Story of Stagwick, giants are a recurring theme, but a long-standing peace with giant-kind is now threatened as a patrol of Blood Riders spark a feud with a local tribe of giants. With word of strange activity coming from the Ice Spires, Good King Hartwick can&acirc;&euro;&trade;t be too careful. Can you quench the giants&acirc;&euro;&trade;s thirst for revenge?<br /> <br /> For character's level 5-10",,Glenn Berman,,,,,RPGA Table 1,,,,,,,,,,y
36,'Into The Deep Dark Depth' Dread Adventure Playtest,Y,11/13/2016 12:00 PM,11/13/2016 3:00 PM,Role Playing,,,"The full moon rose on the equinox and now you and six other Athenian youth have been chosen. Nine years ago your king&acirc;&euro;&trade;s son, Theseus, was sent with the third tribute and did not return. Now you&acirc;&euro;&trade;ve been chosen to be sent to Crete in sacrifice to the monster there. In this dread adventure you must make your way through the maze of the Minotaur. Find Theseus&acirc;&euro;&trade;s equipment and kill the Minotaur deep within the maze. Just make sure you don&acirc;&euro;&trade;t fall under the pressure.<br /> <br /> My team has been working hard writing this adventure and would like to get feed back from experienced rpg players both familiar with the Dread system and not.",,Justin Beers,,,,,RPGA Table 4,,,,,,,,,,y
37,Commander Group Games!,Y,11/11/2016 7:00 PM,11/12/2016 12:00 AM,Card Game,,,"I will have multiple decks provided, for those who do not have edh magic decks. Once enough players are ready, a group game will commence.",,Jeff Lush,,,,,Gaming Table 1,,,,,,,,,,y
38,Weiss vs. Schwarz Demo,Y,11/11/2016 2:00 PM,11/11/2016 6:00 PM,Card Game,,,Come learn the fun anime themed collectible card game with Cassandra and Pat. There will be trial decks available to play with.,,Cassandra Nixon,,,,,Gaming Table 2,,,,,,,,,,y
39,Weiss vs Schwarz Demo,Y,11/12/2016 10:00 AM,11/12/2016 2:00 PM,Card Game,,,Missed the Friday session but still want to learn the fun anime themed collectible card game? Or maybe now that you know you want to practice your skills for the Sunday tournament? We are doing the demo again! Join us!,,Cassandra Nixon,,,,,Gaming Table 2,,,,,,,,,,y
4,Project Demonstrations and Playtesting,Y,11/12/2016 1:00 PM,11/12/2016 5:00 PM,Student Presentations,,,Presentations and playtesting of junior and senior projects by Dakota State University game design students.,,Steve Graham,,,,,Console Games,,,,,,,,Computer Game Design,,y
40,Weiss vs Schwarz Demo,Y,11/13/2016 10:00 AM,11/13/2016 3:00 PM,Card Game,,,"Now that you know the game or for seasoned players, come test your skills in our Sunday tournament. <br /> Anyone playing with Japanese langauge cards must have a translation list and a smart device so that cards can be looked up for newer players. Promo Rare prize support provided by Dragon's Den. <br /> Minimum of 6 players required for this tournament to run. This will be a title deck tournament.",,Cassandra Nixon,,,,,Gaming Table 2,,,,,,,,,,y
41,Cityskylines,Y,11/11/2016 3:00 PM,11/11/2016 5:00 PM,Computer Game,,,hwo long can the city survive,,Nick,,,,,Computer Games,,,,,,,,,,y
42,Betrayal at House on the Hill with widows walk,Y,11/12/2016 12:00 PM,11/12/2016 4:00 PM,Board Game,,,Play with you friends in a house of haunts . Build a house and try to escape it game plays 3-6 players,,Nick griffin,,,,,Gaming Table 4,,,,,,,,,,y
43,Flashbax 48 Commander Event,Y,11/11/2016 10:00 AM,11/11/2016 6:00 PM,Card Game,,,"Flashbax will be hosting a 48 hour MTG Commander event. We need min. of 8 people for this event. Each player must have a legal Commander Deck (WotC legal). Each player will play best 2 out of 3, no more than a total of 5 matches throughout the day. Each player may not play the same person more than 1 time a day. Points will be rewarded as follows: Loss=1, tie=2, win=3. Each player will get a free promotional card for participating. Top 3 will get very cool prizes as well.",,Erik Braley,,,,,Gaming Table 8,,,,,,,,Flashbax,,y
